Point_ID,Latitude,Longitude,LST (°C),Elevation,Slope,Aspect,EVI,NDVI,TVI,BSI,NDBaI,NDBSI,NMDI,OSAVI,SAVI,BUI,EBBI,NBI,NBAI,UI,MNDWI,NDWI,Year
1,22.85,86.2,40.5,150.0,2.5,185.0,0.08,0.12,65.4,0.45,0.38,0.41,0.35,0.15,0.18,0.33,0.29,0.25,0.21,0.39,-0.35,-0.4,2010
2,22.95,86.45,25.1,220.0,8.2,45.0,0.65,0.72,115.8,-0.21,-0.25,-0.19,-0.3,0.75,0.81,-0.15,-0.18,-0.22,-0.2,-0.28,0.55,0.62,2010
3,22.78,86.33,32.8,185.0,5.1,270.0,0.25,0.31,88.2,0.15,0.11,0.18,0.05,0.33,0.39,0.09,0.12,0.07,0.05,0.14,0.02,-0.05,2010
4,22.69,86.51,28.4,205.0,6.7,130.0,0.45,0.53,99.6,-0.05,-0.09,-0.02,-0.15,0.58,0.64,-0.03,-0.07,-0.1,-0.08,-0.12,0.21,0.15,2010
5,22.83413,86.45592,34.4,154.0,7.0,178.0,0.36,0.37,113.3,,,,-0.02,0.66,0.78,0.0,0.13,-0.17,-0.24,-0.14,0.15,-0.35,2010
6,22.83903,86.37691,31.7,196.0,8.0,263.0,0.4,0.37,108.3,,,,-0.28,0.29,0.5,0.0,0.06,0.13,-0.02,-0.21,0.19,-0.45,2010
7,22.80339,86.28331,30.5,143.0,5.5,203.0,0.45,0.47,114.2,,,,-0.31,0.65,0.57,0.35,0.06,-0.25,0.09,0.19,0.03,0.06,2010
8,22.90011,86.50033,33.4,219.0,6.5,336.0,0.59,0.47,108.3,,,,-0.11,0.5,0.57,0.34,0.09,0.25,-0.03,0.05,0.26,0.11,2010
9,22.83088,86.31213,30.7,180.0,3.3,257.0,0.55,0.42,120.0,,,,-0.04,0.23,0.64,0.08,-0.17,0.19,-0.22,-0.19,0.32,-0.45,2010
10,22.86079,86.15918,36.0,199.0,4.8,360.0,0.4,0.47,60.0,,,,-0.04,0.57,0.36,-0.19,0.3,-0.07,-0.07,0.13,-0.31,-0.2,2010
11,22.82544,86.33827,36.4,234.0,7.7,184.0,0.16,0.41,83.2,,,,-0.18,0.59,0.49,0.28,0.01,0.16,0.25,-0.06,0.17,-0.26,2010
12,22.82361,86.33313,38.8,194.0,6.4,168.0,0.42,0.34,92.8,,,,0.16,0.32,0.85,-0.2,-0.11,-0.12,-0.04,0.33,-0.4,0.5,2010
13,22.89944,86.23401,30.4,159.0,4.3,0.0,0.5,0.1,100.5,,,,0.13,0.29,0.58,-0.17,-0.2,-0.07,-0.03,-0.08,0.08,0.65,2010
14,22.93893,86.44646,30.0,170.0,8.2,331.0,0.59,0.39,61.2,,,,-0.22,0.4,0.79,-0.2,-0.09,-0.25,0.01,0.06,0.27,-0.43,2010
15,22.77608,86.35483,30.1,175.0,6.3,163.0,0.33,0.56,76.2,,,,0.04,0.75,0.29,-0.08,-0.01,0.02,-0.16,0.14,0.22,0.3,2010
16,22.82271,86.32104,40.1,218.0,7.6,161.0,0.29,0.67,98.5,,,,-0.05,0.75,0.85,-0.2,0.3,-0.03,0.03,0.44,0.16,0.13,2010
17,22.84874,86.40317,36.6,189.0,4.8,142.0,0.5,0.5,78.6,,,,0.39,0.11,0.69,-0.17,-0.2,0.1,0.06,0.08,0.43,0.5,2010
18,22.86237,86.4287,35.9,202.0,6.9,129.0,0.24,0.44,77.7,,,,-0.04,0.4,0.63,-0.03,-0.16,0.03,-0.01,0.02,0.16,-0.1,2010
19,22.87344,86.24711,33.6,210.0,3.6,165.0,0.46,0.45,115.6,,,,-0.21,0.75,0.48,0.14,-0.11,-0.12,0.08,0.05,0.01,0.26,2010
20,22.84467,86.47007,31.3,216.0,9.4,221.0,0.61,0.27,87.9,,,,0.04,0.26,0.45,0.35,-0.03,-0.11,-0.07,0.23,-0.33,0.42,2010
21,22.81857,86.49551,35.0,161.0,4.9,360.0,0.4,0.14,96.8,,,,-0.26,0.38,0.58,-0.06,-0.05,-0.25,0.04,-0.01,0.16,0.23,2010
22,22.82595,86.45276,35.3,167.0,2.1,143.0,0.48,0.75,80.4,,,,-0.22,0.42,0.28,-0.01,0.3,0.25,-0.0,0.42,-0.17,0.26,2010
23,22.86894,86.30448,33.6,188.0,6.0,175.0,0.37,0.62,78.7,,,,0.06,0.38,0.3,-0.01,0.3,0.06,-0.05,0.05,0.1,0.02,2010
24,22.83991,86.20506,32.9,216.0,7.9,84.0,0.36,0.47,97.0,,,,-0.35,0.75,0.3,-0.15,-0.09,-0.25,-0.05,-0.3,0.23,-0.36,2010
